smiles,solvent,Ex (nm),Em (nm),ST (nm),QY,¦Å (cm-1M-1),Log(¦Å)
CC(C)[Si](CCc1cc2c(=S)c3cc(CC[Si](C(C)C)(C(C)C)C(C)C)cc4c(=S)c5cc(CC[Si](C(C)C)(C(C)C)C(C)C)cc6c(=S)c(c1)c2n(c34)c65)(C(C)C)C(C)C,C(Cl)Cl,577,,,,25000,4.3979
CC(C)[Si](CCc1cc2c(CC[Si](C(C)C)(C(C)C)C(C)C)c(CC[Si](C(C)C)(C(C)C)C(C)C)c3cc(CC[Si](C(C)C)(C(C)C)C(C)C)cc4c(CC[Si](C(C)C)(C(C)C)C(C)C)c(CC[Si](C(C)C)(C(C)C)C(C)C)c(c1)c2c34)(C(C)C)C(C)C,C(Cl)Cl,389,440,51,0.1,35300,4.5478
CC(C)[Si](CCc1ccc(CC[Si](C(C)C)(C(C)C)C(C)C)c2nc3c(ccc4cc5ccccc5cc43)nc12)(C(C)C)C(C)C,CCCCCC,463,466,3,0.37,24419,4.3877
CC(C)[Si](CCc1ccc(CC[Si](C(C)C)(C(C)C)C(C)C)c2nc3c(ccc4ccccc43)nc12)(C(C)C)C(C)C,CCCCCC,411,444,33,0.05,46377,4.6663
CC(C)[Si](CCc1ccc(CC[Si](C(C)C)(C(C)C)C(C)C)c2nc3c(nc12)C1c2ccccc2C3c2ccccc21)(C(C)C)C(C)C,CCCCCC,349,404,55,0.1,,
CC(C)[Si](CCc1ccc(CC[Si](C(C)C)(C(C)C)C(C)C)c2nc3cc4c(cc3nc12)[C@H]1c2ccccc2[C@@H]4c2ccccc21)(C(C)C)C(C)C,CCCCCC,435,455,20,0.02,,
CC(C)[Si](CCc1ccc(CC[Si](C(C)C)(C(C)C)C(C)C)c2nc3cc4c(cc3nc12)[C@H]1c2ccccc2[C@@H]4c2ccccc21)(C(C)C)C(C)C,C(Cl)Cl,435,473,38,0.02,,
CC(C)[Si](CCc1ccc(CC[Si](C(C)C)(C(C)C)C(C)C)c2nc3ccccc3nc12)(C(C)C)C(C)C,CCCCCC,440,463,23,,,
CC(C)[Si](CCc1ccc(CC[Si](C(C)C)(C(C)C)C(C)C)c2nc3ccccc3nc12)(C(C)C)C(C)C,C(Cl)Cl,439,492,53,0.02,,
CC(C)[Si](CCc1ccc(CCc2c3cc4ccccc4cc3c(CC[Si](C(C)C)(C(C)C)C(C)C)c3cc4ccccc4cc23)cc1)(C(C)C)C(C)C,C(Cl)Cl,659,668,9,0.12,,
CC(C)[Si](CCc1ccc2c(c1)C=C1B(N2)c2cc(CC[Si](C(C)C)(C(C)C)C(C)C)ccc2C(c2ccccc2)=C1c1ccccc1)(C(C)C)C(C)C,C(Cl)Cl,402,473,71,0.52,24880,4.3959
CC(C)[Si]1(C(C)C)C2=CC(=[N+](C)C)C=CC2=Cc2ccc(N(C)C)cc21,O,632,,,,,
CC(C)[Si]1(C(C)C)c2cc(C=C(CN)CN)ccc2-c2ccc(N(C)C)cc21,C(Cl)Cl,489,644,155,0.56,38300,4.5832
CC(C)[Si]1(C(C)C)c2cc(C=C(CN)CN)ccc2-c2ccc(N(C)C)cc21,CCO,478,691,213,0.16,32200,4.5079
CC(C)[Si]1(C(C)C)c2cc(C=C(CN)CN)ccc2-c2ccc(N(C)C)cc21,CC#N,475,694,219,0.32,33700,4.5276
CC(C)[Si]1(C(C)C)c2cc(C=C(CN)CN)ccc2-c2ccc(N(C)C)cc21,CS(=O)C,488,714,226,0.23,28200,4.4502
CC(C)[Si]1(C(C)C)c2cc(C=C(CN)CN)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,CCO,467,,,,36800,4.5658
CC(C)[Si]1(C(C)C)c2cc(C=C(CN)CN)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,CC#N,461,,,,31300,4.4955
CC(C)[Si]1(C(C)C)c2cc(C=C(CN)CN)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,CS(=O)C,466,,,,30800,4.4886
CC(C)[Si]1(C(C)C)c2cc(C=C(CN)CN)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,C1CCCCC1,484,515,31,0.46,44600,4.6493
CC(C)[Si]1(C(C)C)c2cc(C=O)ccc2-c2ccc(N(C)C)cc21,C(Cl)Cl,397,501,104,0.71,27100,4.433
CC(C)[Si]1(C(C)C)c2cc(C=O)ccc2-c2ccc(N(C)C)cc21,CS(=O)C,400,541,141,0.57,25900,4.4133
CC(C)[Si]1(C(C)C)c2cc(C=O)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,CCOCC,393,459,66,0.76,30500,4.4843
CC(C)[Si]1(C(C)C)c2cc(C=O)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,C(Cl)Cl,401,524,123,0.8,27800,4.444
CC(C)[Si]1(C(C)C)c2cc(C=O)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,CC#N,392,555,163,0.48,28000,4.4472
CC(C)[Si]1(C(C)C)c2cc(C=O)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,CS(=O)C,398,557,159,0.58,27300,4.4362
CC(C)[Si]1(C(C)C)c2cc(CN)ccc2-c2ccc(N(C)C)cc21,CCOCC,358,423,65,0.66,28900,4.4609
CC(C)[Si]1(C(C)C)c2cc(CN)ccc2-c2ccc(N(C)C)cc21,C(Cl)Cl,368,442,74,0.79,28200,4.4502
CC(C)[Si]1(C(C)C)c2cc(CN)ccc2-c2ccc(N(C)C)cc21,CCO,360,456,96,0.74,26300,4.42
CC(C)[Si]1(C(C)C)c2cc(CN)ccc2-c2ccc(N(C)C)cc21,CC#N,360,464,104,0.65,26500,4.4232
CC(C)[Si]1(C(C)C)c2cc(CN)ccc2-c2ccc(N(C)C)cc21,CS(=O)C,375,473,98,0.51,19600,4.2923
CC(C)[Si]1(C(C)C)c2cc(CN)ccc2-c2ccc(N(C)C)cc21,C1CCCCC1,357,410,53,0.6,28700,4.4579
CC(C)[Si]1(C(C)C)c2cc(CN)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,CCOCC,383,436,53,0.74,28900,4.4609
CC(C)[Si]1(C(C)C)c2cc(CN)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,C(Cl)Cl,388,470,82,0.8,28600,4.4564
CC(C)[Si]1(C(C)C)c2cc(CN)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,CCO,385,482,97,0.72,26200,4.4183
CC(C)[Si]1(C(C)C)c2cc(CN)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,CC#N,381,500,119,0.67,29400,4.4683
CC(C)[Si]1(C(C)C)c2cc(CN)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,CS(=O)C,387,500,113,0.81,26500,4.4232
CC(C)[Si]1(C(C)C)c2cc(CN)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,C1CCCCC1,391,413,22,0.64,29300,4.4669
CC(C)[Si]1(C(C)C)c2cc(N(C)C)ccc2-c2ccc(C(F)(F)F)cc21,CCOCC,334,410,76,0.35,26700,4.4265
CC(C)[Si]1(C(C)C)c2cc(N(C)C)ccc2-c2ccc(C(F)(F)F)cc21,C(Cl)Cl,338,423,85,0.33,24300,4.3856
CC(C)[Si]1(C(C)C)c2cc(N(C)C)ccc2-c2ccc(C(F)(F)F)cc21,CCO,335,422,87,0.28,22500,4.3522
CC(C)[Si]1(C(C)C)c2cc(N(C)C)ccc2-c2ccc(C(F)(F)F)cc21,CC#N,337,440,103,0.4,23100,4.3636
CC(C)[Si]1(C(C)C)c2cc(N(C)C)ccc2-c2ccc(C(F)(F)F)cc21,CS(=O)C,344,451,107,0.17,22400,4.3502
CC(C)[Si]1(C(C)C)c2cc(N(C)C)ccc2-c2ccc(C(F)(F)F)cc21,C1CCCCC1,331,402,71,0.37,24600,4.3909
CC(C)[Si]1(C(C)C)c2ccccc2-c2ccc(N(C)C)cc21,CCOCC,318,406,88,0.22,32100,4.5065
CC(C)[Si]1(C(C)C)c2ccccc2-c2ccc(N(C)C)cc21,C(Cl)Cl,323,410,87,0.13,17100,4.233
CC(C)[Si]1(C(C)C)c2ccccc2-c2ccc(N(C)C)cc21,CCO,319,405,86,0.11,23900,4.3784
CC(C)[Si]1(C(C)C)c2ccccc2-c2ccc(N(C)C)cc21,CC#N,321,418,97,0.28,23400,4.3692
CC(C)[Si]1(C(C)C)c2ccccc2-c2ccc(N(C)C)cc21,CS(=O)C,324,424,100,0.12,22700,4.356
CC(C)[Si]1(C(C)C)c2ccccc2-c2ccc(N(C)C)cc21,C1CCCCC1,323,397,74,0.26,17100,4.233
CC(C)=[N+]1N=C2C=CC(Br)=CN2[B-]1(F)F,CC(=O)C,403,504,101,0.17,24810,4.3946
CC(C)=[N+]1N=C2C=CC(Br)=CN2[B-]1(F)F,C(Cl)Cl,408,497,89,0.22,24510,4.3893
CC(C)=[N+]1N=C2C=CC(Br)=CN2[B-]1(F)F,O,404,491,87,0.17,24750,4.3936
CC(C)=[N+]1N=C2C=CC(Br)=CN2[B-]1(F)F,CO,403,493,90,0.21,24810,4.3946
CC(C)=[N+]1N=C2C=CC(Br)=CN2[B-]1(F)F,CC1=CC=CC=C1,406,500,94,0.07,24630,4.3915
CC(C)=[N+]1N=C2C=CC(I)=CN2[B-]1(F)F,CO,400,496,96,0.2,25000,4.3979
CC(C)=CC(=O)c1cc2c(cc1F)NC(C)(C)CC2=O,CC#N,356,422,66,,,
CC(C)=CC(=O)c1cc2c(cc1F)NC(C)(C)CC2=O,CCO,374,459,85,,,
CC(C)=CC(=O)CC1=C2C=c3c(c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc34)=[N+]2[B-](F)(F)n2c1cc1c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc3c12,CC1=CC=CC=C1,698,,,,,
CC(C)=CCN1C(=O)c2cccc3c2c(cc2oc(C)nc23)C1=O,CCO,362,415,53,0.011,15488,4.19
CC(C)=N[O-],CCO,265,,,,,
CC(C)=NO,CCO,193,,,,2000,3.301
CC(C)C(=O)NC1=CC(=O)C(=O)c2ccccc21,CCO,270,,,,,
CC(C)C[Si](CCc1c2c(=O)c3ccccc3c2c(CC[Si](CC(C)C)(CC(C)C)CC(C)C)c2c(=O)c3ccccc3c12)(CC(C)C)CC(C)C,C(Cl)(Cl)Cl,524,567,43,0.1,,
CC(C)C1=c2c(c3[nH]cc(C(C)C)c3c3ccccc23)=[N+]2C1=Cc1c(C(C)C)c3c4ccccc4c4c(C(C)C)c[nH]c4c3n1[B-]2(F)F,CCCCCC,723,,,,,
CC(C)C1=c2c(c3[nH]cc(C(C)C)c3c3ccccc23)=[N+]2C1=Cc1c(C(C)C)c3c4ccccc4c4c(C(C)C)c[nH]c4c3n1[B-]2(F)F,CS(=O)C,729,,,,,
CC(C)C1=c2c(c3[nH]cc(C(C)C)c3c3ccccc23)=[N+]2C1=Cc1c(C(C)C)c3c4ccccc4c4c(C(C)C)c[nH]c4c3n1[B-]2(F)F,CC1=CC=CC=C1,730,,,,,
CC(C)c1cc(C(C)C)c(B2c3cc(-n4c5ccc(C(C)(C)C)cc5c5cc(C(C)(C)C)ccc54)ccc3N(c3ccccc3)c3ccc(-n4c5ccc(C(C)(C)C)cc5c5cc(C(C)(C)C)ccc54)cc32)c(C(C)C)c1,C1CCCCC1,411,,,,,
CC(C)c1cc(C(C)C)c(B2c3cc(-n4c5ccccc5c5ccccc54)ccc3N(c3ccccc3)c3ccc(-n4c5ccccc5c5ccccc54)cc32)c(C(C)C)c1,C1CCCCC1,400,,,,,
CC(C)c1cc(C(C)C)c(B2c3ccccc3Oc3cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc32)c(C(C)C)c1,CC1=CC=CC=C1,436,475,39,1,,
CC(C)c1cc(C(C)C)c(B2c3ccccc3Oc3cc(N4c5ccccc5C5(c6ccccc6-c6ccccc65)c5ccccc54)ccc32)c(C(C)C)c1,CC1=CC=CC=C1,430,456,26,0.76,,
CC(C)c1cc(C(C)C)c(B2c3ccccc3Oc3cc(-n4c5ccccc5c5c6c(c7ccccc7n6-c6ccccc6)c6c(c7ccccc7n6-c6ccccc6)c54)ccc32)c(C(C)C)c1,CC1=CC=CC=C1,458,,,,,
CC(C)c1cc(C(C)C)c(B2c3ccccc3Oc3cc(-n4c5ccccc5c5ccc6c(c7ccccc7n6-c6ccccc6)c54)ccc32)c(C(C)C)c1,CC1=CC=CC=C1,438,,,,,
CC(C)c1cc(C(C)C)c(-c2ccc(-n3c4ccccc4n4c5ccccc5nc34)nc2)c(C(C)C)c1,CC1=CC=CC=C1,345,,,,,
CC(C)c1cc(C(C)C)c(-c2nnc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)o2)c(C(C)C)c1,CC1=CC=CC=C1,340,377,37,0.61,22300,4.3483
CC(C)c1cc(N(C)C)c(CN)c2c1-c1cccc3cccc-2c13,O,430,554,124,0.22,,
CC(C)c1cc(S(=O)(=O)O)cc(C(C)C)c1N=Cc1cc(N=Nc2ccc([N+](=O)[O-])cc2)ccc1O,C(Cl)(Cl)Cl,380,,,,,
CC(C)c1ccc(/C=C/c2nc3ccc(N(C)C)cc3s2)cc1,C1CCCCC1,388,454,66,0.51,30400,4.4829
CC(C)c1ccc(/C=C/c2nc3ccc(N(C)C)cc3s2)cc1,CC#N,392,517,125,0.54,29800,4.4742
CC(C)c1ccc(C(=O)Nc2ccc(C(=O)/C=C/c3ccc(N(C)CCO)cc3)cc2)cc1,CS(=O)C,430,561,131,0.13,23260,4.3666
CC(C)c1ccc(C=Cc2ccc3c4c(ccc3c2)OC(c2ccccc2)(c2ccccc2)C4=C=C(c2ccccc2)c2ccccc2)cc1,C1CCOC1,467,,,,,
CC(C)c1ccc(C2C3=C(CC(C)(C)CC3=O)Oc3ccc4ccc(OCCCNCCCNc5ccnc6cc(Cl)ccc56)cc4c32)cc1,CO,333,,,,12000,4.0792
CC(C)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,C(Cl)(Cl)Cl,359,,,,99900,4.9996
CC(C)c1ccc2ccc3c(C(C)C)cc(C=O)c4ccc1c2c43,C(Cl)Cl,410,441,31,0.24,24390,4.3872
CC(C)c1ccc2ccc3c(C(C)C)ccc4ccc1c2c43,CCCCCC,345,380,35,0.45,44668,4.65
CC(C)c1ccc2ccc3c(C(C)C)ccc4ccc1c2c43,C(Cl)Cl,346,381,35,0.39,,
CC(C)c1ccc2ccc3c(C(C)C)ccc4ccc1c2c43,CO,343,380,37,0.55,,
CC(C)c1ccc2ccc3cccc4ccc1c2c34,CCCCCC,338,376,38,0.21,44668,4.65
CC(C)c1ccc2ccc3cccc4ccc1c2c34,C(Cl)Cl,340,377,37,0.41,,
CC(C)c1ccc2ccc3cccc4ccc1c2c34,CO,337,376,39,0.24,,
CC(C)c1cccc(-[n+]2nc3cc(C(C)C)ccc3c3ccccc32)c1,C(Cl)Cl,438,516,78,0.02,22830,4.3585
CC(C)c1cccc(C(C)C)c1[N+]1=Cc2cccn2[B-]1(c1ccccc1)c1ccccc1,C1CCOC1,353,386,33,,28310,4.4519
CC(C)c1cccc(C(C)C)c1N1B(c2ccccc2)N(c2c(C(C)C)cccc2C(C)C)C(c2ccccc2)=C1c1ccccc1,C1CCOC1,406,471,65,0.82,24630,4.3915
CC(C)c1cccc(C(C)C)c1-n1c(=O)c2cc(Oc3ccc(C(C)(C)C)cc3)c3c4c(Oc5ccc(C(C)(C)C)cc5)cc5c(=O)n(-c6c(C(C)C)cccc6C(C)C)c(=O)c6cc(Oc7ccc(C(C)(C)C)cc7)c(c7c(Oc8ccc(C(C)(C)C)cc8)cc(c1=O)c2c37)c4c56,CC1=CC=CC=C1,581,611,30,0.76,61700,4.7903
CC(C)c1cccc(C(C)C)c1-n1c(=O)c2cc3nc(-c4ccccc4)c4cc5c(=O)n(-c6c(C(C)C)cccc6C(C)C)c(=O)c6cc7nc(-c8ccccc8)c8cc(c1=O)c2c1c3c4c(c65)c7c81,C(Cl)(Cl)Cl,488,502,14,0.25,27092,4.4328
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c(-c4ccccc4)c4c5ccc6c7c(ccc(c(-c8ccccc8)c4c4ccc(c2c34)C1=O)c75)C(=O)N(c1c(C(C)C)cccc1C(C)C)C6=O,C(Cl)Cl,631,702,71,0.24,13700,4.1367
CC(C)c1cccc(C(C)C)c1-n1c(=O)c2ccc3c4c(-c5ccc(C(=O)O)cc5)c5ccc6c(=O)n(-c7c(C(C)C)cccc7C(C)C)c(=O)c7cc8c9cc(C(=O)O)ccc9c(c9ccc(c1=O)c2c39)c4c8c5c67,C(Cl)Cl,607,626,19,0.75,12900,4.1106
CC(C)c1cccc(C(C)C)c1-n1c(=O)c2ccc3c4ccc5c(=O)n(-c6c(C(C)C)cccc6C(C)C)c(=O)c6cc7c(-c8ccccn8)nc8cc(c1=O)c2c3c8c7c4c56,C(Cl)(Cl)Cl,474,485,11,0.36,68376,4.8349
CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc3c(Oc4ccc(C(C)(C)C)cc4)ccc(c23)C1=O,C(Cl)Cl,364,434,70,0.11,18621,4.27
CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc3c(Oc4ccc(C(C)(C)c5ccccc5)cc4)ccc(c23)C1=O,C(Cl)Cl,365,435,70,0.11,12882,4.11
CC(C)c1cccc(C(C)C)c1-n1c(-c2ccc(-c3ccc(/C=C(\CN)C(=O)O)cc3)s2)ccc1-c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1,C1CCOC1,455,,,0.69,,
CC(C)c1cccc(C(C)C)c1-n1c(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)cc(/C=C(\CN)C(=O)O)c1-c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1,C1CCOC1,418,,,0.71,,
CC(C)c1cccc(C(C)C)c1N1C(c2ccccc2)=Cc2ccc3ccccc3[n+]2[B-]1(F)F,C(Cl)Cl,447,472,25,0.48,28184,4.45
CC(C)c1cccc(C(C)C)c1OC1=[N+]2C(=C(c3cccc(F)c3)c3c(C4CCCCC4)c(CN)c(Oc4c(C(C)C)cccc4C(C)C)n3[B-]2(F)F)C(C2CCCCC2)=C1CN,CC1=CC=CC=C1,512,,,,19530,4.2907
CC(C)CC(=O)NC1=CC(=O)C(=O)c2ccccc21,CCO,271,,,,,
CC(C)Cc1ccc(/C2=C3\C=CC(=N3)/C(c3ccc(CC(C)C)cc3)=c3/cc/c4n3[Zn]n3c2ccc3/C(c2ccc(CC(C)C)cc2)=C2\N=C(C=C2/C=C(\CN)C(=O)O)/C=4c2ccc(CC(C)C)cc2)cc1,C(Cl)Cl,623,650,27,,,
CC(C)Cc1ccc(/C2=C3\C=CC(=N3)/C(c3ccc(CC(C)C)cc3)=c3/cc/c4n3[Zn]n3c2ccc3/C(c2ccc(CC(C)C)cc2)=C2\N=C(C=C2CCc2ccc(C(=O)O)cc2)/C=4c2ccc(CC(C)C)cc2)cc1,C(Cl)Cl,606,620,14,,,
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)Oc5cc(/C=C/C=C/c6ccc(N(C)C)cc6)ccc5[N+](=O)[O-])CC[C@]4(C)[C@H]3CC[C@@]21C,CC#N,454,,,,,
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)Oc5cc(/C=C/C=C/c6ccc(N(C)C)cc6)ccc5[N+](=O)[O-])CC[C@]4(C)[C@H]3CC[C@@]21C,CO,448,,,,,
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)Oc5cc(/C=C/c6ccc(N(C)C)cc6)ccc5[N+](=O)[O-])CC[C@]4(C)[C@H]3CC[C@@]21C,C1CCCCC1,396,503,107,0.29,,
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)Oc5cc(/C=C/c6ccc(N(C)C)cc6)ccc5[N+](=O)[O-])CC[C@]4(C)[C@H]3CC[C@@]21C,CC1=CC=CC=C1,405,554,149,0.18,,
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)Oc5cc(/C=C/c6ccc(N(C)C)cc6)ccc5[N+](=O)[O-])CC[C@]4(C)[C@H]3CC[C@@]21C,C1COCCO1,400,573,173,0.09,,
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)Oc5cc(/C=C/c6ccc(N(C)C)cc6)ccc5[N+](=O)[O-])CC[C@]4(C)[C@H]3CC[C@@]21C,C1CCOC1,412,,,,,
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)Oc5cc(/C=C/c6ccc(N(C)C)cc6)ccc5[N+](=O)[O-])CC[C@]4(C)[C@H]3CC[C@@]21C,CC#N,400,,,,,
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)Oc5cc(/C=C/c6ccc(N(C)C)cc6)ccc5[N+](=O)[O-])CC[C@]4(C)[C@H]3CC[C@@]21C,CO,400,,,,,
CC(C)CCC1(CCC(C)C)c2ccccc2-c2ccc(-c3cc(-c4ccc5c(c4)C(CCC(C)C)(CCC(C)C)c4ccccc4-5)c4ccc5c(-c6ccc7c(c6)C(CCC(C)C)(CCC(C)C)c6ccccc6-7)cc(-c6ccc7c(c6)C(CCC(C)C)(CCC(C)C)c6ccccc6-7)c6ccc3c4c65)cc21,C(Cl)Cl,395,,,,,
CC(C)CCC1(CCC(C)C)c2ccccc2-c2ccc(-c3cc(-c4ccc5c(c4)C(CCC(C)C)(CCC(C)C)c4ccccc4-5)c4ccc5cc(C(C)(C)C)cc6ccc3c4c65)cc21,C(Cl)Cl,414,,,,34000,4.5315
CC(C)CCC1(CCC(C)C)c2ccccc2-c2ccc(-c3cc4c(-c5ccc6c(c5)C(CCC(C)C)(CCC(C)C)c5ccccc5-6)cc(-c5ccc6c(c5)C(CCC(C)C)(CCC(C)C)c5ccccc5-6)c5cc(-c6ccc7c(c6)C(CCC(C)C)(CCC(C)C)c6ccccc6-7)c6cc(C(C)(C)C)cc3c6c45)cc21,C(Cl)Cl,442,,,,36880,4.5668
CC(C)CCC1(CCC(C)C)c2ccccc2-c2ccc(-c3ccc4ccc5cccc6ccc3c4c56)cc21,C(Cl)Cl,400,,,,44550,4.6488
CC(C)CCCC(C)CCN1C(=O)c2ccc3c(-c4ccccc4)c4c5ccc6c7c(ccc(c(-c8ccccc8)c4c4ccc(c2c34)C1=O)c75)C(=O)N(CCC(C)CCCC(C)C)C6=O,C(Cl)Cl,630,704,74,0.13,12100,4.0828
CC(C)CCCCN1CCc2c1ccc1c3c(ccc21)C(=O)CCC3,C1CCCCC1,362,433,71,,,
CC(C)CCCCN1CCc2c1ccc1c3c(ccc21)C(=O)CCC3,CC1=CC=CC=C1,368,452,84,,,
CC(C)CCCCN1CCc2c1ccc1c3c(ccc21)C(=O)CCC3,C1=CC=C(C=C1)Cl,370,462,92,,,
CC(C)CCCCN1CCc2c1ccc1c3c(ccc21)C(=O)CCC3,CCOC(=O)C,366,467,101,,,
CC(C)CCCCN1CCc2c1ccc1c3c(ccc21)C(=O)CCC3,C(Cl)Cl,373,472,99,,,
CC(C)CCCCN1CCc2c1ccc1c3c(ccc21)C(=O)CCC3,CC#N,370,489,119,,,
CC(C)CCCCN1CCc2c1ccc1c3c(ccc21)C(=O)CCC3,CS(=O)C,376,472,96,,,
CC(C)CCCCN1CCc2c1ccc1c3c(ccc21)C(=O)CCC3,CCO,374,522,148,,,
CC(C)CCCCN1CCc2c1ccc1c3c(ccc21)CCCC3=O,C1CCCCC1,418,507,89,,,
CC(C)CCCCN1CCc2c1ccc1c3c(ccc21)CCCC3=O,CC1=CC=CC=C1,426,554,128,,,
CC(C)CCCCN1CCc2c1ccc1c3c(ccc21)CCCC3=O,C1=CC=C(C=C1)Cl,427,573,146,,,
CC(C)CCCCN1CCc2c1ccc1c3c(ccc21)CCCC3=O,CCOC(=O)C,417,586,169,,,
CC(C)CCCCN1CCc2c1ccc1c3c(ccc21)CCCC3=O,C(Cl)Cl,426,595,169,,,
CC(C)CCCCN1CCc2c1ccc1c3c(ccc21)CCCC3=O,CCO,410,539,129,,,
CC(C)CCCn1c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2c2cc(-c3ccc(/C=C(\CN)C(=O)O)o3)ccc21,C(Cl)Cl,468,,,0.63,,
CC(C)CCCN1c2ccccc2CCc2ccccc21,CO,276,360,84,0.021,7079,3.85
CC(C)CCCN1c2ccccc2CCc2ccccc21,CC#N,276,352,76,0.029,7244,3.86
CC(C)CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CCC(C)C)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,CO,781,,,,,
CC(C)CCOc1cc(/C=C(\CN)C(=O)O)c(OCCC(C)C)cc1/C=C/c1ccc(N(c2ccc3c(c2)-c2ccccc2C3(C)C)c2ccc3c(c2)-c2ccccc2C3(C)C)cc1,C1CCOC1,457,,,0.73,,
CC(C)CCOc1cc(/C=C/c2ccc(N(c3ccc4c(c3)-c3ccccc3C4(C)C)c3ccc4c(c3)-c3ccccc3C4(C)C)cc2)c(OCCC(C)C)cc1C=Cc1cc(OCCC(C)C)c(/C=C(\CN)C(=O)O)cc1OCCC(C)C,C1CCOC1,466,,,0.71,,
CC(C)CCOc1cc(/C=C/c2ccc(N(c3ccc4c(c3)-c3ccccc3C4(C)C)c3ccc4c(c3)-c3ccccc3C4(C)C)cc2)c(OCCC(C)C)cc1C=Cc1cc(OCCC(C)C)c(/C=C/c2cc(OCCC(C)C)c(C=C(CN)C(=O)O)cc2OCCC(C)C)cc1OCCC(C)C,C1CCOC1,472,,,0.7,,
CC(C)CCOc1ccc(N(c2ccc(/C=C/c3nc4ccc(C(=O)O)cc4nc3/C=C/c3ccc(N(c4ccc(OCCC(C)C)cc4)c4ccc(OCCC(C)C)cc4)cc3)cc2)c2ccc(OCCC(C)C)cc2)cc1,C(Cl)(Cl)Cl,484,,,0.75,,
CC(C)CCOc1ccc(N2c3ccccc3Sc3cc(/C=C/c4nc5ccc(C(=O)O)cc5nc4/C=C/c4ccc5c(c4)Sc4ccccc4N5c4ccc(OCCC(C)C)cc4)ccc32)cc1,C(Cl)(Cl)Cl,477,,,0.71,,
CC(C)CN1C(=O)/C(=C/c2ccc([N+](=O)[O-])cc2)C=C1c1ccccc1,C1COCCO1,456,601,145,0.033,12700,4.1038
CC(C)CN1C(=O)/C(=C/c2ccc(CN)cc2)C=C1c1ccccc1,C1COCCO1,440,598,158,0.153,10600,4.0253
CC(C)CN1C(=O)c2cccc3c(N(C)CCO)ccc(c23)C1=O,CC(=O)C,412,,,,,
CC(C)CN1C(=O)c2cccc3c(NCCN)ccc(c23)C1=O,CC(=O)C,431,,,,,
CC(C)CN1C(=O)c2cccc3c(NCCO)ccc(c23)C1=O,C(Cl)Cl,430,,,,,
CC(C)CN1C(=O)c2cccc3c(OCCO)ccc(c23)C1=O,CC(=O)C,363,,,,,
CC(C)CN1C(=O)c2cccc3c(SCc4ccccc4)ccc(c23)C1=O,CC#N,389,,,,73400,4.8657
CC(C)N1/C(=C/C2=C([O-])/C(=C\C3=[N+](C(C)C)c4ccccc4C3(C)C)C2=C(CN)CN)C(C)(C)c2ccccc21,C(Cl)Cl,683,,,,,
